"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","2.63307","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Spatial Distribution Score","MeanState","global","score","1","0.963695","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Phase Shift","MeanState","global","scalar","months","0.84741","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Seasonal Cycle Score","MeanState","global","score","1","0.888034","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Bias","MeanState","global","scalar","g m-2 d-1","0.361848","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Bias Score","MeanState","global","score","1","0.575355","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","RMSE","MeanState","global","scalar","g m-2 d-1","1.05675","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","RMSE Score","MeanState","global","score","1","0.526678","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","CLM","Overall Score","MeanState","global","score","1","0.696088","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","2.36252","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","2.13947","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.42842","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","2.42842","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Spatial Distribution Score","MeanState","global","score","1","0.963027","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Phase Shift","MeanState","global","scalar","months","0.65669","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Seasonal Cycle Score","MeanState","global","score","1","0.926433","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Bias","MeanState","global","scalar","g m-2 d-1","0.0659003","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Bias Score","MeanState","global","score","1","0.623911","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","RMSE","MeanState","global","scalar","g m-2 d-1","0.844249","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","RMSE Score","MeanState","global","score","1","0.579125","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","JSBACH","Overall Score","MeanState","global","score","1","0.734324","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","2.46148","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","1.32932","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.01033","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","2.01033","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Spatial Distribution Score","MeanState","global","score","1","0.975445","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Phase Shift","MeanState","global","scalar","months","1.0994","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Seasonal Cycle Score","MeanState","global","score","1","0.8513","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Bias","MeanState","global","scalar","g m-2 d-1","-0.451143","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Bias Score","MeanState","global","score","1","0.571579","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","RMSE","MeanState","global","scalar","g m-2 d-1","0.909714","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","RMSE Score","MeanState","global","score","1","0.624861","1.0"
"CarbonCycle","GrossPrimaryProduction","ENSMEAN","ORCHIDEE","Overall Score","MeanState","global","score","1","0.729609","1.0"
