Experiment,Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data,Weight
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_40pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1363.28,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2,2557.83,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2,2574.86,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2,4373.37,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2,4121.29,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1636.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2,1901.32,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2,1041.85,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2,1165.19,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2,1192.48,1
co2,CarbonStocks,CarboninVegetation,ENSMEAN,co2_-40pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2,1241.11,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.000307558,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.0649785,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.000322659,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.0225218,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0009089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,0.010294,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0111089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,0.0493711,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.000947703,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-100pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.0944516,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.000307558,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.0200108,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.000322659,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,0.0267106,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0009089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,0.0950214,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0111089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,0.184592,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.000947703,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_-80pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.0788651,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.000307558,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,0.140521,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.000322659,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,0.316463,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0009089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,0.14912,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0111089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,0.243486,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.000947703,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_80pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,0.0838547,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.000307558,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,0.162904,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.000322659,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,0.372624,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0009089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,0.178058,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,-0.0111089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,temperate,scalar,g m-2 d-1,0.285167,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Benchmark Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,-0.000947703,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_100pct,Model Period Mean (intersection),MeanState,boreal,scalar,g m-2 d-1,0.0500286,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,-0.000307558,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,global,scalar,g m-2 d-1,0.0413239,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,-0.000322659,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,tropics,scalar,g m-2 d-1,0.144473,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Benchmark Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,-0.0009089,1
co2,CarbonCycle,NetBiomeProductivity,ENSMEAN,co2_20pct,Model Period Mean (intersection),MeanState,subtropics,scalar,g m-2 d-1,0.0166933,1
